100	7	0.01	0.01
125	8	0.01	0.01
150	6	0.00	0.00
175	5	0.00	0.00
200	3	0.00	0.00
225	9	0.01	0.01
250	5	0.00	0.00
275	1	0.00	0.00
300	0	0.00	0.00
325	2	0.00	0.00
350	7	0.01	0.01
375	11	0.01	0.01
400	16	0.01	0.01
425	21	0.02	0.02
450	26	0.02	0.02
475	30	0.02	0.02
500	37	0.03	0.03
525	38	0.03	0.03
550	38	0.03	0.03
575	32	0.03	0.03
600	40	0.03	0.03
625	77	0.06	0.06
650	112	0.09	0.09
675	157	0.12	0.12
700	232	0.18	0.18
725	270	0.21	0.22
750	297	0.23	0.24
775	310	0.25	0.25
800	303	0.24	0.24
825	265	0.21	0.21
850	97	0.08	0.08
875	90	0.07	0.07
900	150	0.12	0.12
925	212	0.17	0.17
950	263	0.21	0.21
975	290	0.23	0.23
1000	301	0.24	0.24
1025	280	0.22	0.22
1050	210	0.17	0.17
1075	152	0.12	0.12
1100	90	0.07	0.07
1125	148	0.12	0.12
1150	206	0.16	0.16
1175	113	0.09	0.09
1200	60	0.05	0.05
